window,window_name,spec,entry_z,horizon_bars,mean_bps,mean_session_bps,t_clustered,hit_rate,n_events
H,S-HALF,S3,2.5,60,-0.061,0.284,5.61,0.482,7848.0
H,S-HALF,S3,2.5,120,-0.134,0.363,5.01,0.463,7456.0
H,S-HALF,S3,3.0,5,0.021,0.083,4.13,0.472,4518.0
H,S-HALF,S3,3.0,15,0.017,0.126,4.03,0.477,4492.0
H,S-HALF,S3,3.0,30,-0.029,0.168,3.76,0.479,4459.0
H,S-HALF,S3,3.0,60,-0.065,0.234,3.86,0.485,4421.0
H,S-HALF,S3,3.0,120,-0.177,0.264,3.12,0.456,4288.0
R,S-RTH,S1,1.5,5,0.011,0.021,3.36,0.449,27434.0
R,S-RTH,S1,1.5,15,0.003,0.02,1.57,0.474,26588.0
R,S-RTH,S1,1.5,30,-0.007,0.009,0.47,0.483,25561.0
R,S-RTH,S1,1.5,60,-0.037,0.021,0.72,0.476,23727.0
R,S-RTH,S1,1.5,120,-0.08,0.057,1.24,0.479,20273.0
R,S-RTH,S1,2.0,5,0.007,0.034,4.34,0.455,17405.0
R,S-RTH,S1,2.0,15,0.002,0.052,3.85,0.48,17018.0
R,S-RTH,S1,2.0,30,-0.015,0.042,1.9,0.485,16547.0
R,S-RTH,S1,2.0,60,-0.049,0.067,2.15,0.473,15726.0
R,S-RTH,S1,2.0,120,-0.11,0.112,2.48,0.474,14087.0
R,S-RTH,S1,2.5,5,0.012,0.035,3.19,0.467,8931.0
R,S-RTH,S1,2.5,15,-0.004,0.049,2.46,0.484,8805.0
R,S-RTH,S1,2.5,30,-0.04,0.046,1.7,0.475,8709.0
R,S-RTH,S1,2.5,60,-0.078,0.109,2.96,0.466,8373.0
R,S-RTH,S1,2.5,120,-0.138,0.078,1.59,0.461,7732.0
R,S-RTH,S1,3.0,5,0.005,0.057,4.05,0.473,4615.0
R,S-RTH,S1,3.0,15,-0.019,0.101,4.01,0.481,4595.0
R,S-RTH,S1,3.0,30,-0.06,0.111,3.32,0.473,4564.0
R,S-RTH,S1,3.0,60,-0.064,0.176,3.96,0.475,4460.0
R,S-RTH,S1,3.0,120,-0.08,0.131,2.2,0.484,4233.0
R,S-RTH,S2,1.5,5,0.009,0.005,0.57,0.449,28592.0
R,S-RTH,S2,1.5,15,0.012,0.015,0.93,0.478,27718.0
R,S-RTH,S2,1.5,30,-0.013,-0.017,-0.75,0.484,26647.0
R,S-RTH,S2,1.5,60,-0.037,-0.007,-0.22,0.484,24608.0
