window,window_name,entry_z,horizon_bars,mean_bps,mean_session_bps,t_clustered,hit_rate,n_events,label
U,S-USED,2.0,5,-0.02,-0.014,-0.78,0.457,3232.0,EXPLORATORY_open_subset
U,S-USED,2.0,15,-0.041,-0.039,-1.35,0.468,3232.0,EXPLORATORY_open_subset
U,S-USED,2.0,30,-0.123,-0.146,-3.87,0.45,3232.0,EXPLORATORY_open_subset
U,S-USED,2.0,60,-0.115,-0.124,-2.39,0.472,3230.0,EXPLORATORY_open_subset
U,S-USED,2.0,120,-0.124,-0.145,-2.29,0.48,3230.0,EXPLORATORY_open_subset
U,S-USED,2.5,5,-0.022,-0.014,-0.7,0.451,3038.0,EXPLORATORY_open_subset
U,S-USED,2.5,15,-0.042,-0.042,-1.4,0.47,3038.0,EXPLORATORY_open_subset
U,S-USED,2.5,30,-0.107,-0.134,-3.28,0.467,3037.0,EXPLORATORY_open_subset
U,S-USED,2.5,60,-0.112,-0.095,-1.74,0.457,3035.0,EXPLORATORY_open_subset
U,S-USED,2.5,120,-0.189,-0.182,-2.65,0.47,3035.0,EXPLORATORY_open_subset
U,S-USED,3.0,5,-0.017,0.009,0.44,0.448,2641.0,EXPLORATORY_open_subset
U,S-USED,3.0,15,-0.034,-0.015,-0.48,0.463,2641.0,EXPLORATORY_open_subset
U,S-USED,3.0,30,-0.075,-0.114,-2.62,0.46,2635.0,EXPLORATORY_open_subset
U,S-USED,3.0,60,-0.082,-0.077,-1.35,0.46,2630.0,EXPLORATORY_open_subset
U,S-USED,3.0,120,-0.134,-0.132,-1.78,0.473,2630.0,EXPLORATORY_open_subset
