window,window_name,spec,entry_z,horizon_bars,mean_bps,mean_session_bps,t_clustered,hit_rate,n_events
H,S-HALF,S3,3.0,120,0.191,0.832,4.87,0.504,4657.0
R,S-RTH,S1,1.5,5,0.031,0.069,4.23,0.455,31754.0
R,S-RTH,S1,1.5,15,0.041,0.114,3.79,0.484,30787.0
R,S-RTH,S1,1.5,30,0.028,0.143,3.13,0.489,29576.0
R,S-RTH,S1,1.5,60,0.01,0.203,2.86,0.494,27317.0
R,S-RTH,S1,1.5,120,-0.002,0.343,3.22,0.489,23075.0
R,S-RTH,S1,2.0,5,0.057,0.122,5.63,0.465,19582.0
R,S-RTH,S1,2.0,15,0.05,0.171,4.28,0.49,19166.0
R,S-RTH,S1,2.0,30,0.043,0.216,3.58,0.493,18694.0
R,S-RTH,S1,2.0,60,-0.002,0.367,4.28,0.49,17677.0
R,S-RTH,S1,2.0,120,0.007,0.614,5.31,0.495,15949.0
R,S-RTH,S1,2.5,5,0.036,0.125,4.43,0.466,9755.0
R,S-RTH,S1,2.5,15,0.034,0.266,5.37,0.491,9626.0
R,S-RTH,S1,2.5,30,0.021,0.371,5.26,0.492,9460.0
R,S-RTH,S1,2.5,60,0.055,0.653,6.59,0.5,9114.0
R,S-RTH,S1,2.5,120,0.063,0.825,6.27,0.505,8484.0
R,S-RTH,S1,3.0,5,0.043,0.242,6.33,0.484,4770.0
R,S-RTH,S1,3.0,15,0.075,0.414,6.63,0.504,4743.0
R,S-RTH,S1,3.0,30,0.109,0.578,6.45,0.507,4702.0
R,S-RTH,S1,3.0,60,0.053,0.699,6.14,0.509,4586.0
R,S-RTH,S1,3.0,120,0.214,0.837,5.38,0.524,4337.0
R,S-RTH,S2,1.5,5,0.04,0.073,4.19,0.462,31282.0
R,S-RTH,S2,1.5,15,0.032,0.095,3.13,0.482,30343.0
R,S-RTH,S2,1.5,30,0.037,0.129,2.81,0.49,29213.0
R,S-RTH,S2,1.5,60,0.013,0.13,1.87,0.496,27108.0
R,S-RTH,S2,1.5,120,0.08,0.332,3.21,0.5,23049.0
R,S-RTH,S2,2.0,5,0.042,0.081,3.52,0.466,18683.0
R,S-RTH,S2,2.0,15,0.025,0.08,1.96,0.484,18231.0
R,S-RTH,S2,2.0,30,0.034,0.12,1.89,0.491,17698.0
R,S-RTH,S2,2.0,60,-0.005,0.249,2.69,0.493,16672.0
R,S-RTH,S2,2.0,120,-0.05,0.414,3.35,0.495,14839.0
R,S-RTH,S2,2.5,5,0.042,0.151,4.92,0.472,9680.0
R,S-RTH,S2,2.5,15,0.061,0.288,5.32,0.495,9547.0
R,S-RTH,S2,2.5,30,0.021,0.369,4.52,0.49,9386.0
R,S-RTH,S2,2.5,60,-0.062,0.523,4.95,0.488,9038.0
R,S-RTH,S2,2.5,120,-0.131,0.569,4.05,0.499,8346.0
R,S-RTH,S2,3.0,5,0.07,0.217,4.96,0.479,4819.0
R,S-RTH,S2,3.0,15,0.147,0.384,5.31,0.518,4780.0
R,S-RTH,S2,3.0,30,0.168,0.515,4.99,0.517,4727.0
R,S-RTH,S2,3.0,60,0.073,0.583,4.33,0.502,4581.0
R,S-RTH,S2,3.0,120,-0.052,0.511,2.98,0.506,4344.0
R,S-RTH,S3,1.5,5,0.042,0.072,3.86,0.46,29340.0
R,S-RTH,S3,1.5,15,0.067,0.122,3.62,0.489,28486.0
R,S-RTH,S3,1.5,30,0.073,0.202,4.11,0.495,27551.0
R,S-RTH,S3,1.5,60,0.072,0.331,4.27,0.499,25723.0
R,S-RTH,S3,1.5,120,0.112,0.603,5.24,0.501,22093.0
R,S-RTH,S3,2.0,5,0.045,0.099,4.26,0.465,18251.0
R,S-RTH,S3,2.0,15,0.057,0.182,4.18,0.49,17918.0
R,S-RTH,S3,2.0,30,0.083,0.33,5.32,0.496,17527.0
R,S-RTH,S3,2.0,60,0.098,0.568,6.2,0.494,16758.0
R,S-RTH,S3,2.0,120,0.129,0.884,6.89,0.504,15194.0
R,S-RTH,S3,2.5,5,0.068,0.174,5.17,0.475,9757.0
R,S-RTH,S3,2.5,15,0.092,0.303,5.41,0.498,9639.0
R,S-RTH,S3,2.5,30,0.069,0.47,5.57,0.496,9500.0
R,S-RTH,S3,2.5,60,0.104,0.762,7.15,0.503,9212.0
R,S-RTH,S3,2.5,120,0.114,1.028,7.19,0.499,8647.0
R,S-RTH,S3,3.0,5,0.027,0.177,4.22,0.465,4965.0
R,S-RTH,S3,3.0,15,0.046,0.381,5.38,0.494,4944.0
R,S-RTH,S3,3.0,30,0.131,0.668,6.32,0.503,4904.0
R,S-RTH,S3,3.0,60,-0.004,0.691,5.22,0.501,4813.0
R,S-RTH,S3,3.0,120,0.119,0.822,4.84,0.507,4617.0
S,S-SETTLE,S1,1.5,5,0.03,0.049,2.46,0.458,26148.0
S,S-SETTLE,S1,1.5,15,0.029,0.083,2.5,0.483,25399.0
S,S-SETTLE,S1,1.5,30,-0.004,0.072,1.47,0.486,24363.0
S,S-SETTLE,S1,1.5,60,0.022,0.204,2.65,0.492,22379.0
S,S-SETTLE,S1,1.5,120,0.109,0.452,4.27,0.502,18223.0
S,S-SETTLE,S1,2.0,5,0.052,0.131,5.57,0.464,16034.0
S,S-SETTLE,S1,2.0,15,0.047,0.196,4.7,0.488,15764.0
S,S-SETTLE,S1,2.0,30,0.048,0.298,4.89,0.494,15338.0
S,S-SETTLE,S1,2.0,60,0.105,0.589,6.72,0.505,14407.0
S,S-SETTLE,S1,2.0,120,0.048,0.767,6.43,0.5,12414.0
S,S-SETTLE,S1,2.5,5,0.052,0.181,5.24,0.473,7468.0
S,S-SETTLE,S1,2.5,15,0.095,0.352,6.1,0.503,7362.0
S,S-SETTLE,S1,2.5,30,0.12,0.534,6.66,0.508,7209.0
S,S-SETTLE,S1,2.5,60,0.166,0.875,8.1,0.516,6913.0
S,S-SETTLE,S1,2.5,120,0.127,0.925,6.18,0.509,6236.0
S,S-SETTLE,S1,3.0,5,0.041,0.19,4.11,0.477,3526.0
S,S-SETTLE,S1,3.0,15,0.119,0.417,5.15,0.499,3490.0
S,S-SETTLE,S1,3.0,30,0.223,0.675,6.05,0.522,3436.0
S,S-SETTLE,S1,3.0,60,0.144,0.82,5.94,0.525,3333.0
S,S-SETTLE,S1,3.0,120,0.188,0.809,4.49,0.522,3079.0
S,S-SETTLE,S2,1.5,5,0.039,0.082,3.84,0.463,26080.0
S,S-SETTLE,S2,1.5,15,0.021,0.108,2.99,0.484,25383.0
S,S-SETTLE,S2,1.5,30,0.009,0.157,2.82,0.486,24314.0
S,S-SETTLE,S2,1.5,60,-0.016,0.196,2.52,0.491,22282.0
S,S-SETTLE,S2,1.5,120,0.092,0.433,3.76,0.505,18172.0
S,S-SETTLE,S2,2.0,5,0.024,0.083,3.4,0.459,15439.0
S,S-SETTLE,S2,2.0,15,0.045,0.174,4.14,0.49,15125.0
S,S-SETTLE,S2,2.0,30,0.065,0.255,3.8,0.504,14651.0
S,S-SETTLE,S2,2.0,60,0.037,0.386,3.95,0.504,13669.0
S,S-SETTLE,S2,2.0,120,-0.073,0.495,3.8,0.495,11669.0
S,S-SETTLE,S2,2.5,5,0.042,0.172,5.21,0.474,7411.0
S,S-SETTLE,S2,2.5,15,0.096,0.351,5.93,0.504,7314.0
S,S-SETTLE,S2,2.5,30,0.113,0.488,5.69,0.511,7139.0
S,S-SETTLE,S2,2.5,60,0.005,0.574,5.2,0.502,6794.0
S,S-SETTLE,S2,2.5,120,-0.195,0.496,3.15,0.5,6048.0
S,S-SETTLE,S2,3.0,5,0.037,0.226,4.65,0.482,3405.0
S,S-SETTLE,S2,3.0,15,0.041,0.377,4.46,0.493,3368.0
S,S-SETTLE,S2,3.0,30,0.126,0.588,5.06,0.508,3308.0
S,S-SETTLE,S2,3.0,60,0.139,0.804,5.59,0.505,3177.0
S,S-SETTLE,S2,3.0,120,-0.099,0.595,3.03,0.513,2956.0
S,S-SETTLE,S3,1.5,5,0.033,0.066,3.28,0.461,24482.0
S,S-SETTLE,S3,1.5,15,0.022,0.103,2.78,0.483,23871.0
S,S-SETTLE,S3,1.5,30,0.004,0.178,3.18,0.487,22982.0
S,S-SETTLE,S3,1.5,60,-0.008,0.266,3.0,0.486,21261.0
S,S-SETTLE,S3,1.5,120,0.149,0.607,4.76,0.502,17403.0
S,S-SETTLE,S3,2.0,5,0.063,0.15,5.6,0.469,15068.0
S,S-SETTLE,S3,2.0,15,0.056,0.263,5.72,0.487,14820.0
S,S-SETTLE,S3,2.0,30,0.05,0.423,6.59,0.494,14438.0
S,S-SETTLE,S3,2.0,60,0.031,0.656,6.72,0.49,13676.0
S,S-SETTLE,S3,2.0,120,0.114,0.949,7.49,0.5,11849.0
S,S-SETTLE,S3,2.5,5,0.063,0.182,4.72,0.472,7611.0
S,S-SETTLE,S3,2.5,15,0.124,0.388,6.06,0.5,7535.0
S,S-SETTLE,S3,2.5,30,0.148,0.626,6.51,0.501,7399.0
S,S-SETTLE,S3,2.5,60,0.148,0.908,7.51,0.505,7114.0
S,S-SETTLE,S3,2.5,120,0.173,1.054,6.61,0.503,6430.0
S,S-SETTLE,S3,3.0,5,-0.012,0.209,3.92,0.469,3455.0
S,S-SETTLE,S3,3.0,15,0.052,0.537,5.3,0.492,3421.0
S,S-SETTLE,S3,3.0,30,0.092,0.787,5.91,0.513,3371.0
S,S-SETTLE,S3,3.0,60,-0.088,0.849,5.33,0.502,3282.0
S,S-SETTLE,S3,3.0,120,-0.082,0.857,4.38,0.501,3057.0
U,S-USED,S1,1.5,5,0.035,0.066,3.8,0.449,30904.0
U,S-USED,S1,1.5,15,0.045,0.127,4.4,0.477,29967.0
U,S-USED,S1,1.5,30,0.039,0.166,3.73,0.486,28786.0
U,S-USED,S1,1.5,60,0.05,0.285,4.02,0.497,26717.0
U,S-USED,S1,1.5,120,0.064,0.491,4.69,0.5,22831.0
U,S-USED,S1,2.0,5,0.044,0.102,4.94,0.457,19064.0
U,S-USED,S1,2.0,15,0.05,0.161,4.66,0.486,18631.0
U,S-USED,S1,2.0,30,0.038,0.221,4.51,0.488,18135.0
U,S-USED,S1,2.0,60,0.012,0.372,5.15,0.494,17200.0
U,S-USED,S1,2.0,120,0.042,0.62,5.7,0.496,15385.0
U,S-USED,S1,2.5,5,0.068,0.181,6.14,0.463,9502.0
U,S-USED,S1,2.5,15,0.057,0.269,6.24,0.491,9374.0
U,S-USED,S1,2.5,30,0.077,0.364,5.99,0.499,9224.0
