window,window_name,spec,entry_z,horizon_bars,mean_bps,mean_session_bps,t_clustered,hit_rate,n_events
R,S-RTH,S3,3.0,30,0.005,0.184,5.13,0.486,4428.0
R,S-RTH,S3,3.0,60,-0.02,0.256,5.66,0.495,4350.0
R,S-RTH,S3,3.0,120,0.024,0.314,5.29,0.494,4191.0
S,S-SETTLE,S1,1.5,5,0.011,0.02,4.56,0.448,25416.0
S,S-SETTLE,S1,1.5,15,0.015,0.039,4.5,0.478,24730.0
S,S-SETTLE,S1,1.5,30,0.014,0.048,3.74,0.485,23737.0
S,S-SETTLE,S1,1.5,60,0.013,0.077,3.84,0.488,21779.0
S,S-SETTLE,S1,1.5,120,0.002,0.097,3.25,0.491,17705.0
S,S-SETTLE,S1,2.0,5,0.012,0.026,3.96,0.455,15723.0
S,S-SETTLE,S1,2.0,15,0.012,0.057,4.73,0.481,15411.0
S,S-SETTLE,S1,2.0,30,0.008,0.065,3.69,0.491,14968.0
S,S-SETTLE,S1,2.0,60,0.015,0.134,5.2,0.493,14050.0
S,S-SETTLE,S1,2.0,120,0.002,0.187,5.46,0.484,12070.0
S,S-SETTLE,S1,2.5,5,0.005,0.03,3.14,0.46,7761.0
S,S-SETTLE,S1,2.5,15,0.003,0.067,4.2,0.481,7651.0
S,S-SETTLE,S1,2.5,30,-0.01,0.092,4.23,0.491,7465.0
S,S-SETTLE,S1,2.5,60,-0.02,0.161,5.43,0.49,7075.0
S,S-SETTLE,S1,2.5,120,-0.034,0.177,4.52,0.478,6356.0
S,S-SETTLE,S1,3.0,5,0.009,0.06,4.53,0.47,3448.0
S,S-SETTLE,S1,3.0,15,-0.005,0.108,4.89,0.472,3402.0
S,S-SETTLE,S1,3.0,30,-0.013,0.154,5.06,0.491,3342.0
S,S-SETTLE,S1,3.0,60,-0.038,0.187,4.63,0.494,3200.0
S,S-SETTLE,S1,3.0,120,-0.021,0.204,3.97,0.499,2961.0
S,S-SETTLE,S2,1.5,5,0.011,0.011,2.04,0.453,27643.0
S,S-SETTLE,S2,1.5,15,0.01,0.021,2.29,0.475,26845.0
S,S-SETTLE,S2,1.5,30,0.011,0.026,1.69,0.489,25747.0
S,S-SETTLE,S2,1.5,60,0.01,0.057,2.63,0.491,23596.0
S,S-SETTLE,S2,1.5,120,0.002,0.116,3.69,0.493,19204.0
S,S-SETTLE,S2,2.0,5,0.014,0.023,3.31,0.455,16580.0
S,S-SETTLE,S2,2.0,15,0.017,0.049,3.97,0.487,16207.0
S,S-SETTLE,S2,2.0,30,0.012,0.064,3.29,0.499,15680.0
S,S-SETTLE,S2,2.0,60,0.002,0.11,4.28,0.494,14589.0
S,S-SETTLE,S2,2.0,120,-0.02,0.157,4.8,0.486,12396.0
S,S-SETTLE,S2,2.5,5,0.017,0.044,4.32,0.464,7918.0
S,S-SETTLE,S2,2.5,15,0.025,0.089,4.97,0.495,7758.0
S,S-SETTLE,S2,2.5,30,0.015,0.128,5.18,0.492,7553.0
S,S-SETTLE,S2,2.5,60,0.024,0.185,5.86,0.498,7158.0
S,S-SETTLE,S2,2.5,120,0.005,0.196,4.38,0.49,6345.0
S,S-SETTLE,S2,3.0,5,0.028,0.08,5.7,0.476,3424.0
S,S-SETTLE,S2,3.0,15,0.038,0.131,5.61,0.498,3365.0
S,S-SETTLE,S2,3.0,30,0.072,0.193,6.03,0.516,3305.0
S,S-SETTLE,S2,3.0,60,0.096,0.236,5.61,0.517,3147.0
S,S-SETTLE,S2,3.0,120,0.063,0.219,3.97,0.503,2890.0
S,S-SETTLE,S3,1.5,5,0.011,0.018,3.03,0.45,21052.0
S,S-SETTLE,S3,1.5,15,0.013,0.041,3.67,0.473,20592.0
S,S-SETTLE,S3,1.5,30,0.021,0.064,3.49,0.486,19870.0
S,S-SETTLE,S3,1.5,60,0.015,0.098,3.59,0.486,18405.0
S,S-SETTLE,S3,1.5,120,0.012,0.144,3.42,0.488,15115.0
S,S-SETTLE,S3,2.0,5,0.017,0.04,4.64,0.457,13215.0
S,S-SETTLE,S3,2.0,15,0.032,0.087,6.11,0.487,13004.0
S,S-SETTLE,S3,2.0,30,0.029,0.128,5.87,0.488,12690.0
S,S-SETTLE,S3,2.0,60,0.033,0.193,5.9,0.493,12012.0
S,S-SETTLE,S3,2.0,120,0.03,0.285,6.45,0.491,10547.0
S,S-SETTLE,S3,2.5,5,0.01,0.073,5.74,0.454,6719.0
S,S-SETTLE,S3,2.5,15,0.019,0.141,6.67,0.476,6643.0
S,S-SETTLE,S3,2.5,30,0.02,0.184,6.29,0.495,6525.0
S,S-SETTLE,S3,2.5,60,0.0,0.278,6.76,0.495,6278.0
S,S-SETTLE,S3,2.5,120,0.005,0.34,6.06,0.495,5725.0
S,S-SETTLE,S3,3.0,5,0.015,0.065,3.97,0.454,3099.0
S,S-SETTLE,S3,3.0,15,0.021,0.135,4.75,0.496,3075.0
S,S-SETTLE,S3,3.0,30,-0.022,0.148,3.84,0.483,3027.0
S,S-SETTLE,S3,3.0,60,-0.017,0.23,4.47,0.486,2939.0
S,S-SETTLE,S3,3.0,120,0.062,0.302,4.25,0.491,2723.0
U,S-USED,S1,1.5,5,0.016,0.031,6.93,0.444,30283.0
U,S-USED,S1,1.5,15,0.021,0.04,5.26,0.478,29415.0
U,S-USED,S1,1.5,30,0.02,0.052,4.37,0.492,28290.0
U,S-USED,S1,1.5,60,0.027,0.088,4.48,0.494,26208.0
