signal,signal_label,spec,entry_z,horizon_bars,mean_bps,mean_session_bps,t_clustered,hit_rate,n_events
1,z1_session_anchored,S3,2.5,5,0.049,0.078,6.44,0.466,11497.0
1,z1_session_anchored,S3,2.5,15,0.078,0.128,7.31,0.498,11249.0
1,z1_session_anchored,S3,2.5,30,0.07,0.138,5.57,0.507,10884.0
1,z1_session_anchored,S3,2.5,60,0.062,0.169,5.05,0.507,9989.0
1,z1_session_anchored,S3,2.5,120,-0.012,0.166,3.64,0.488,8133.0
1,z1_session_anchored,S3,3.0,5,0.052,0.126,5.84,0.48,3509.0
1,z1_session_anchored,S3,3.0,15,0.082,0.181,6.36,0.497,3446.0
1,z1_session_anchored,S3,3.0,30,0.093,0.203,5.43,0.526,3365.0
1,z1_session_anchored,S3,3.0,60,0.063,0.162,3.13,0.504,3083.0
1,z1_session_anchored,S3,3.0,120,-0.002,0.169,2.57,0.494,2521.0
2,z2_open_excluded,S1,1.5,5,0.022,0.042,7.16,0.444,37757.0
2,z2_open_excluded,S1,1.5,15,0.036,0.081,8.04,0.479,36478.0
2,z2_open_excluded,S1,1.5,30,0.038,0.124,7.67,0.493,34869.0
2,z2_open_excluded,S1,1.5,60,0.04,0.172,6.72,0.504,31994.0
2,z2_open_excluded,S1,1.5,120,0.038,0.249,6.16,0.505,26711.0
2,z2_open_excluded,S1,2.0,5,0.035,0.082,9.45,0.458,21679.0
2,z2_open_excluded,S1,2.0,15,0.038,0.13,9.33,0.483,21076.0
2,z2_open_excluded,S1,2.0,30,0.045,0.196,9.56,0.496,20295.0
2,z2_open_excluded,S1,2.0,60,0.043,0.287,9.71,0.507,18969.0
2,z2_open_excluded,S1,2.0,120,0.023,0.357,8.1,0.505,16521.0
2,z2_open_excluded,S1,2.5,5,0.037,0.106,8.94,0.464,9178.0
2,z2_open_excluded,S1,2.5,15,0.048,0.193,10.42,0.482,8969.0
2,z2_open_excluded,S1,2.5,30,0.049,0.252,9.19,0.496,8729.0
2,z2_open_excluded,S1,2.5,60,0.064,0.304,8.98,0.503,8302.0
2,z2_open_excluded,S1,2.5,120,0.068,0.314,6.2,0.512,7370.0
2,z2_open_excluded,S1,3.0,5,0.038,0.125,6.87,0.464,3246.0
2,z2_open_excluded,S1,3.0,15,0.036,0.189,6.79,0.487,3210.0
2,z2_open_excluded,S1,3.0,30,0.081,0.298,8.3,0.516,3159.0
2,z2_open_excluded,S1,3.0,60,0.11,0.319,6.55,0.519,3062.0
2,z2_open_excluded,S1,3.0,120,0.07,0.31,4.39,0.526,2791.0
2,z2_open_excluded,S2,1.5,5,0.027,0.048,7.18,0.448,39012.0
2,z2_open_excluded,S2,1.5,15,0.038,0.087,7.79,0.483,37751.0
2,z2_open_excluded,S2,1.5,30,0.033,0.112,6.57,0.489,36074.0
2,z2_open_excluded,S2,1.5,60,0.023,0.146,5.37,0.495,33091.0
2,z2_open_excluded,S2,1.5,120,0.026,0.228,5.85,0.502,27462.0
2,z2_open_excluded,S2,2.0,5,0.037,0.076,6.62,0.456,21234.0
2,z2_open_excluded,S2,2.0,15,0.045,0.12,7.68,0.484,20627.0
2,z2_open_excluded,S2,2.0,30,0.054,0.188,8.03,0.502,19888.0
2,z2_open_excluded,S2,2.0,60,0.059,0.255,7.26,0.505,18644.0
2,z2_open_excluded,S2,2.0,120,0.049,0.292,6.59,0.508,16228.0
2,z2_open_excluded,S2,2.5,5,0.052,0.113,7.24,0.466,8860.0
2,z2_open_excluded,S2,2.5,15,0.074,0.181,8.8,0.5,8707.0
2,z2_open_excluded,S2,2.5,30,0.077,0.233,7.74,0.506,8461.0
2,z2_open_excluded,S2,2.5,60,0.093,0.3,6.88,0.506,7992.0
2,z2_open_excluded,S2,2.5,120,0.11,0.34,6.27,0.521,7149.0
2,z2_open_excluded,S2,3.0,5,0.08,0.133,5.65,0.489,2863.0
2,z2_open_excluded,S2,3.0,15,0.093,0.194,6.59,0.505,2822.0
2,z2_open_excluded,S2,3.0,30,0.124,0.231,5.56,0.524,2781.0
2,z2_open_excluded,S2,3.0,60,0.113,0.235,3.86,0.5,2646.0
2,z2_open_excluded,S2,3.0,120,0.074,0.209,2.62,0.509,2397.0
2,z2_open_excluded,S3,1.5,5,0.035,0.063,8.12,0.453,37036.0
2,z2_open_excluded,S3,1.5,15,0.046,0.128,9.8,0.479,35959.0
2,z2_open_excluded,S3,1.5,30,0.045,0.186,9.09,0.491,34562.0
2,z2_open_excluded,S3,1.5,60,0.033,0.25,8.03,0.494,32113.0
2,z2_open_excluded,S3,1.5,120,0.005,0.32,6.87,0.49,27183.0
2,z2_open_excluded,S3,2.0,5,0.029,0.086,8.21,0.457,21244.0
2,z2_open_excluded,S3,2.0,15,0.029,0.16,10.31,0.481,20758.0
2,z2_open_excluded,S3,2.0,30,0.027,0.244,10.79,0.491,20182.0
2,z2_open_excluded,S3,2.0,60,0.005,0.333,10.08,0.487,19142.0
2,z2_open_excluded,S3,2.0,120,-0.014,0.422,8.42,0.49,17214.0
2,z2_open_excluded,S3,2.5,5,0.049,0.151,10.29,0.466,9388.0
2,z2_open_excluded,S3,2.5,15,0.06,0.243,11.33,0.491,9264.0
2,z2_open_excluded,S3,2.5,30,0.065,0.337,11.44,0.501,9097.0
2,z2_open_excluded,S3,2.5,60,0.047,0.43,10.49,0.491,8790.0
2,z2_open_excluded,S3,2.5,120,0.002,0.442,7.52,0.492,8174.0
2,z2_open_excluded,S3,3.0,5,0.046,0.14,6.32,0.471,3353.0
2,z2_open_excluded,S3,3.0,15,0.077,0.24,8.02,0.498,3328.0
2,z2_open_excluded,S3,3.0,30,0.108,0.342,8.63,0.516,3292.0
2,z2_open_excluded,S3,3.0,60,0.08,0.374,6.81,0.502,3193.0
2,z2_open_excluded,S3,3.0,120,-0.018,0.343,4.77,0.486,2997.0
O,zO_open_only_EXPLORATORY,S1,1.5,5,0.012,0.01,0.51,0.463,3230.0
O,zO_open_only_EXPLORATORY,S1,1.5,15,-0.015,-0.026,-0.97,0.48,3230.0
O,zO_open_only_EXPLORATORY,S1,1.5,30,-0.069,-0.123,-3.49,0.467,3230.0
O,zO_open_only_EXPLORATORY,S1,1.5,60,-0.09,-0.121,-2.54,0.477,3228.0
O,zO_open_only_EXPLORATORY,S1,1.5,120,-0.136,-0.138,-2.37,0.473,3228.0
O,zO_open_only_EXPLORATORY,S1,2.0,5,-0.02,-0.014,-0.78,0.457,3232.0
O,zO_open_only_EXPLORATORY,S1,2.0,15,-0.041,-0.039,-1.35,0.468,3232.0
O,zO_open_only_EXPLORATORY,S1,2.0,30,-0.123,-0.146,-3.87,0.45,3232.0
O,zO_open_only_EXPLORATORY,S1,2.0,60,-0.115,-0.124,-2.39,0.472,3230.0
O,zO_open_only_EXPLORATORY,S1,2.0,120,-0.124,-0.145,-2.29,0.48,3230.0
O,zO_open_only_EXPLORATORY,S1,2.5,5,-0.022,-0.014,-0.7,0.451,3038.0
O,zO_open_only_EXPLORATORY,S1,2.5,15,-0.042,-0.042,-1.4,0.47,3038.0
O,zO_open_only_EXPLORATORY,S1,2.5,30,-0.107,-0.134,-3.28,0.467,3037.0
O,zO_open_only_EXPLORATORY,S1,2.5,60,-0.112,-0.095,-1.74,0.457,3035.0
O,zO_open_only_EXPLORATORY,S1,2.5,120,-0.189,-0.182,-2.65,0.47,3035.0
O,zO_open_only_EXPLORATORY,S1,3.0,5,-0.017,0.009,0.44,0.448,2641.0
O,zO_open_only_EXPLORATORY,S1,3.0,15,-0.034,-0.015,-0.48,0.463,2641.0
O,zO_open_only_EXPLORATORY,S1,3.0,30,-0.075,-0.114,-2.62,0.46,2635.0
O,zO_open_only_EXPLORATORY,S1,3.0,60,-0.082,-0.077,-1.35,0.46,2630.0
O,zO_open_only_EXPLORATORY,S1,3.0,120,-0.134,-0.132,-1.78,0.473,2630.0
