window,window_name,spec,entry_z,horizon_bars,mean_bps,mean_session_bps,t_clustered,hit_rate,n_events
H,S-HALF,S3,3.0,5,0.054,0.117,6.8,0.481,6234.0
H,S-HALF,S3,3.0,15,0.037,0.19,6.55,0.486,6202.0
H,S-HALF,S3,3.0,30,0.051,0.281,7.63,0.493,6136.0
H,S-HALF,S3,3.0,60,0.082,0.397,7.95,0.504,6060.0
H,S-HALF,S3,3.0,120,0.007,0.388,5.54,0.491,5877.0
R,S-RTH,S1,1.5,5,0.015,0.027,4.42,0.45,42780.0
R,S-RTH,S1,1.5,15,0.018,0.046,3.93,0.479,41499.0
R,S-RTH,S1,1.5,30,0.011,0.06,3.3,0.489,39836.0
R,S-RTH,S1,1.5,60,0.004,0.071,2.57,0.494,36928.0
R,S-RTH,S1,1.5,120,-0.014,0.149,3.47,0.498,31320.0
R,S-RTH,S1,2.0,5,0.026,0.058,6.94,0.465,25821.0
R,S-RTH,S1,2.0,15,0.025,0.091,6.62,0.482,25234.0
R,S-RTH,S1,2.0,30,0.005,0.103,5.01,0.486,24506.0
R,S-RTH,S1,2.0,60,-0.003,0.182,5.73,0.491,23142.0
R,S-RTH,S1,2.0,120,-0.043,0.249,5.72,0.493,20643.0
R,S-RTH,S1,2.5,5,0.021,0.075,6.83,0.467,12776.0
R,S-RTH,S1,2.5,15,0.022,0.133,6.76,0.489,12606.0
R,S-RTH,S1,2.5,30,-0.0,0.178,6.4,0.491,12351.0
R,S-RTH,S1,2.5,60,-0.026,0.238,6.33,0.49,11826.0
R,S-RTH,S1,2.5,120,-0.063,0.282,5.54,0.488,10962.0
R,S-RTH,S1,3.0,5,0.011,0.071,4.18,0.468,5912.0
R,S-RTH,S1,3.0,15,0.007,0.149,5.77,0.495,5863.0
R,S-RTH,S1,3.0,30,0.011,0.232,6.63,0.507,5795.0
R,S-RTH,S1,3.0,60,-0.018,0.285,5.95,0.501,5652.0
R,S-RTH,S1,3.0,120,-0.008,0.281,4.51,0.503,5339.0
R,S-RTH,S2,1.5,5,0.026,0.033,4.91,0.456,43199.0
R,S-RTH,S2,1.5,15,0.02,0.033,2.94,0.48,41972.0
R,S-RTH,S2,1.5,30,0.004,0.008,0.45,0.484,40319.0
R,S-RTH,S2,1.5,60,-0.008,0.014,0.48,0.488,37293.0
R,S-RTH,S2,1.5,120,-0.015,0.075,1.79,0.493,31558.0
R,S-RTH,S2,2.0,5,0.025,0.047,4.6,0.463,25338.0
R,S-RTH,S2,2.0,15,0.025,0.064,3.76,0.485,24770.0
R,S-RTH,S2,2.0,30,0.007,0.076,3.03,0.49,24072.0
R,S-RTH,S2,2.0,60,-0.001,0.14,3.88,0.486,22658.0
